product_id,product_name,brand_id,category_id,model_year,list_price,prod_cost,brand_name,category_name,store_id,quantity,store_name,phone,email,street,city,state,zip_code
1,Trek 820 - 2016,9,6,2016,379.99,251.16970409699996,Trek,Mountain Bikes,1,27,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
1,Trek 820 - 2016,9,6,2016,379.99,251.16970409699996,Trek,Mountain Bikes,2,14,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
1,Trek 820 - 2016,9,6,2016,379.99,251.16970409699996,Trek,Mountain Bikes,3,14,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
2,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,486.99895659399994,Ritchey,Mountain Bikes,1,5,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
2,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,486.99895659399994,Ritchey,Mountain Bikes,2,16,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
2,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,486.99895659399994,Ritchey,Mountain Bikes,3,24,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
3,Surly Wednesday Frameset - 2016,8,6,2016,999.99,912.1634082747,Surly,Mountain Bikes,1,6,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
3,Surly Wednesday Frameset - 2016,8,6,2016,999.99,912.1634082747,Surly,Mountain Bikes,2,28,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
3,Surly Wednesday Frameset - 2016,8,6,2016,999.99,912.1634082747,Surly,Mountain Bikes,3,0,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
4,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99,1916.8652600969997,Trek,Mountain Bikes,1,23,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
4,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99,1916.8652600969997,Trek,Mountain Bikes,2,2,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
4,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99,1916.8652600969997,Trek,Mountain Bikes,3,11,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
5,Heller Shagamaw Frame - 2016,3,6,2016,1320.99,873.2141517990001,Heller,Mountain Bikes,1,22,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
5,Heller Shagamaw Frame - 2016,3,6,2016,1320.99,873.2141517990001,Heller,Mountain Bikes,2,1,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
5,Heller Shagamaw Frame - 2016,3,6,2016,1320.99,873.2141517990001,Heller,Mountain Bikes,3,3,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
6,Surly Ice Cream Truck Frameset - 2016,8,6,2016,469.99,428.7119673747,Surly,Mountain Bikes,1,0,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
6,Surly Ice Cream Truck Frameset - 2016,8,6,2016,469.99,428.7119673747,Surly,Mountain Bikes,2,11,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
6,Surly Ice Cream Truck Frameset - 2016,8,6,2016,469.99,428.7119673747,Surly,Mountain Bikes,3,27,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
7,Trek Slash 8 27.5 - 2016,9,6,2016,3999.99,2643.9545900969997,Trek,Mountain Bikes,1,8,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
7,Trek Slash 8 27.5 - 2016,9,6,2016,3999.99,2643.9545900969997,Trek,Mountain Bikes,2,8,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
7,Trek Slash 8 27.5 - 2016,9,6,2016,3999.99,2643.9545900969997,Trek,Mountain Bikes,3,12,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
8,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,1189.775930097,Trek,Mountain Bikes,1,0,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
8,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,1189.775930097,Trek,Mountain Bikes,2,1,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
8,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,1189.775930097,Trek,Mountain Bikes,3,12,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
9,Trek Conduit+ - 2016,9,5,2016,2999.99,1982.9642900969995,Trek,Electric Bikes,1,11,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
9,Trek Conduit+ - 2016,9,5,2016,2999.99,1982.9642900969995,Trek,Electric Bikes,2,17,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
9,Trek Conduit+ - 2016,9,5,2016,2999.99,1982.9642900969995,Trek,Electric Bikes,3,23,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
10,Surly Straggler - 2016,8,4,2016,1549,1412.95524897,Surly,Cyclocross Bicycles,1,15,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
10,Surly Straggler - 2016,8,4,2016,1549,1412.95524897,Surly,Cyclocross Bicycles,2,13,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
10,Surly Straggler - 2016,8,4,2016,1549,1412.95524897,Surly,Cyclocross Bicycles,3,21,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
11,Surly Straggler 650b - 2016,8,4,2016,1680.99,1533.3529012047,Surly,Cyclocross Bicycles,1,8,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
11,Surly Straggler 650b - 2016,8,4,2016,1680.99,1533.3529012047,Surly,Cyclocross Bicycles,2,21,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
11,Surly Straggler 650b - 2016,8,4,2016,1680.99,1533.3529012047,Surly,Cyclocross Bicycles,3,30,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
12,Electra Townie Original 21D - 2016,1,3,2016,549.99,385.40147757299997,Electra,Cruisers Bicycles,1,16,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
12,Electra Townie Original 21D - 2016,1,3,2016,549.99,385.40147757299997,Electra,Cruisers Bicycles,2,2,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
12,Electra Townie Original 21D - 2016,1,3,2016,549.99,385.40147757299997,Electra,Cruisers Bicycles,3,30,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
13,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,189.193521573,Electra,Cruisers Bicycles,1,13,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
13,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,189.193521573,Electra,Cruisers Bicycles,2,1,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
13,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,189.193521573,Electra,Cruisers Bicycles,3,19,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,269.99,189.193521573,Electra,Cruisers Bicycles,1,8,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,269.99,189.193521573,Electra,Cruisers Bicycles,2,18,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,269.99,189.193521573,Electra,Cruisers Bicycles,3,4,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
15,Electra Moto 1 - 2016,1,3,2016,529.99,371.38662357299995,Electra,Cruisers Bicycles,1,3,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
15,Electra Moto 1 - 2016,1,3,2016,529.99,371.38662357299995,Electra,Cruisers Bicycles,2,6,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
15,Electra Moto 1 - 2016,1,3,2016,529.99,371.38662357299995,Electra,Cruisers Bicycles,3,22,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
16,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,420.43861257299994,Electra,Cruisers Bicycles,1,4,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
16,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,420.43861257299994,Electra,Cruisers Bicycles,2,20,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
16,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,420.43861257299994,Electra,Cruisers Bicycles,3,19,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
17,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429,371.2967544,Pure Cycles,Cruisers Bicycles,1,2,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
17,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429,371.2967544,Pure Cycles,Cruisers Bicycles,2,3,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
17,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429,371.2967544,Pure Cycles,Cruisers Bicycles,3,22,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,3,2016,449,388.6066264,Pure Cycles,Cruisers Bicycles,1,16,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,3,2016,449,388.6066264,Pure Cycles,Cruisers Bicycles,2,13,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,3,2016,449,388.6066264,Pure Cycles,Cruisers Bicycles,3,5,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
19,Pure Cycles William 3-Speed - 2016,4,3,2016,449,388.6066264,Pure Cycles,Cruisers Bicycles,1,4,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
19,Pure Cycles William 3-Speed - 2016,4,3,2016,449,388.6066264,Pure Cycles,Cruisers Bicycles,2,15,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
19,Pure Cycles William 3-Speed - 2016,4,3,2016,449,388.6066264,Pure Cycles,Cruisers Bicycles,3,24,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,420.43861257299994,Electra,Cruisers Bicycles,1,26,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,420.43861257299994,Electra,Cruisers Bicycles,2,20,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,420.43861257299994,Electra,Cruisers Bicycles,3,19,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
21,Electra Cruiser 1 (24-Inch) - 2016,1,1,2016,269.99,189.193521573,Electra,Children Bicycles,1,24,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
21,Electra Cruiser 1 (24-Inch) - 2016,1,1,2016,269.99,189.193521573,Electra,Children Bicycles,2,16,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
21,Electra Cruiser 1 (24-Inch) - 2016,1,1,2016,269.99,189.193521573,Electra,Children Bicycles,3,8,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,1,2016,269.99,189.193521573,Electra,Children Bicycles,1,29,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,1,2016,269.99,189.193521573,Electra,Children Bicycles,2,0,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,1,2016,269.99,189.193521573,Electra,Children Bicycles,3,20,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,299.99,210.215802573,Electra,Children Bicycles,1,9,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,299.99,210.215802573,Electra,Children Bicycles,2,12,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,299.99,210.215802573,Electra,Children Bicycles,3,8,Rowlett Bikes,(972) 530-5555,rowlett@bikes.shop,8000 Fairway Avenue,Rowlett,TX,75088
24,Electra Townie Original 21D - 2016,1,2,2016,549.99,385.40147757299997,Electra,Comfort Bicycles,1,10,Santa Cruz Bikes,(831) 476-4321,santacruz@bikes.shop,3700 Portola Drive,Santa Cruz,CA,95060
